WY,Oct_Mar,Apr_Jul,WYsum,Index,WYtype,watershed
1966,     1.49,   2.42,   3.98,  2.51,   BN,San Joaquin Valley
1967,     2.46,   7.09,   9.98,  5.25,    W,San Joaquin Valley
1968,     1.02,   1.85,   2.94,  2.21,    D,San Joaquin Valley
1969,     3.84,   8.14,  12.29,  6.09,    W,San Joaquin Valley
1970,     2.55,   2.96,   5.61,  3.18,   AN,San Joaquin Valley
1971,     1.56,   3.23,   4.91,  2.89,   BN,San Joaquin Valley
1972,     1.25,   2.22,   3.57,  2.16,    D,San Joaquin Valley
1973,     1.87,   4.48,   6.47,  3.50,   AN,San Joaquin Valley
1974,     2.43,   4.53,   7.12,  3.90,    W,San Joaquin Valley
1975,     1.37,   4.65,   6.18,  3.85,    W,San Joaquin Valley
1976,     0.78,   1.07,   1.97,  1.57,    C,San Joaquin Valley
1977,     0.22,   0.80,   1.05,  0.84,    C,San Joaquin Valley
1978,     2.57,   6.50,   9.65,  4.58,    W,San Joaquin Valley
1979,     1.87,   3.99,   5.98,  3.67,   AN,San Joaquin Valley
1980,     3.74,   5.41,   9.47,  4.73,    W,San Joaquin Valley
1981,     0.85,   2.29,   3.22,  2.44,    D,San Joaquin Valley
1982,     3.78,   7.00,  11.41,  5.45,    W,San Joaquin Valley
1983,     5.42,   8.73,  15.01,  7.22,    W,San Joaquin Valley
1984,     3.51,   3.48,   7.13,  3.69,   AN,San Joaquin Valley
1985,     1.11,   2.41,   3.60,  2.40,    D,San Joaquin Valley
1986,     4.36,   4.92,   9.50,  4.31,    W,San Joaquin Valley
1987,     0.55,   1.48,   2.08,  1.86,    C,San Joaquin Valley
1988,     0.86,   1.55,   2.48,  1.48,    C,San Joaquin Valley
1989,     1.07,   2.42,   3.56,  1.96,    C,San Joaquin Valley
1990,     0.83,   1.59,   2.46,  1.51,    C,San Joaquin Valley
1991,     0.56,   2.57,   3.20,  1.96,    C,San Joaquin Valley
1992,     0.86,   1.66,   2.58,  1.56,    C,San Joaquin Valley
1993,     2.49,   5.65,   8.38,  4.20,    W,San Joaquin Valley
1994,     0.66,   1.80,   2.54,  2.05,    C,San Joaquin Valley
1995,     3.67,   8.01,  12.32,  5.95,    W,San Joaquin Valley
1996,     2.57,   4.51,   7.22,  4.12,    W,San Joaquin Valley
1997,     5.75,   3.59,   9.51,  4.13,    W,San Joaquin Valley
1998,     2.82,   7.11,  10.43,  5.65,    W,San Joaquin Valley
1999,     1.90,   3.85,   5.91,  3.59,   AN,San Joaquin Valley
2000,     1.98,   3.78,   5.90,  3.38,   AN,San Joaquin Valley
2001,     0.92,   2.23,   3.18,  2.20,    D,San Joaquin Valley
2002,     1.27,   2.75,   4.06,  2.34,    D,San Joaquin Valley
2003,     1.25,   3.49,   4.87,  2.81,   BN,San Joaquin Valley
2004,     1.51,   2.25,   3.81,  2.21,    D,San Joaquin Valley
2005,     2.73,   6.28,   9.21,  4.75,    W,San Joaquin Valley
2006,     2.86,   7.37,  10.44,  5.90,    W,San Joaquin Valley
2007,     0.99,   1.46,   2.51,  1.97,    C,San Joaquin Valley
2008,     0.99,   2.45,   3.49,  2.06,    C,San Joaquin Valley
2009,     1.51,   3.35,   4.94,  2.72,   BN,San Joaquin Valley
2010,     1.43,   4.53,   6.08,  3.55,   AN,San Joaquin Valley
2011,     3.68,   6.90,  10.99,  5.58,    W,San Joaquin Valley
2012,     0.83,   1.86,   2.76,  2.18,    D,San Joaquin Valley
2013,     1.33,   1.67,   3.05,  1.71,    C,San Joaquin Valley
2014,     0.46,   1.21,   1.72,  1.16,    C,San Joaquin Valley
2015,     0.67,   0.74,   1.44,  0.81,    C,San Joaquin Valley
2016,     2.03,   2.98,   5.06,  2.35,    D,San Joaquin Valley
2017,     6.65,   7.77,  14.84,  6.46,    W,San Joaquin Valley
2018,     1.64,   3.01,   4.76,  3.03,   BN,San Joaquin Valley
